Time,Volume,Open,High,Low,Close
2018-11-19 08:44:15,1,112.800,112.800,112.800,112.800
2018-11-19 08:44:25,4,112.798,112.805,112.798,112.805
2018-11-19 08:44:30,3,112.808,112.812,112.808,112.812
2018-11-19 08:44:40,3,112.814,112.820,112.814,112.820
2018-11-19 08:44:55,4,112.822,112.824,112.820,112.824
2018-11-19 08:45:00,2,112.822,112.822,112.820,112.820
2018-11-19 08:45:10,3,112.822,112.827,112.822,112.827
2018-11-19 08:45:15,2,112.830,112.832,112.830,112.832
2018-11-19 08:45:25,2,112.829,112.829,112.826,112.826
2018-11-19 08:45:30,2,112.824,112.824,112.821,112.821
2018-11-19 08:45:35,2,112.824,112.826,112.824,112.826
2018-11-19 08:45:45,2,112.824,112.824,112.821,112.821
2018-11-19 08:46:00,1,112.819,112.819,112.819,112.819
2018-11-19 08:46:05,2,112.816,112.816,112.814,112.814
2018-11-19 08:46:10,1,112.812,112.812,112.812,112.812
2018-11-19 08:46:20,2,112.808,112.812,112.808,112.812
2018-11-19 08:47:05,4,112.814,112.816,112.812,112.812
2018-11-19 08:47:15,2,112.809,112.812,112.809,112.812
2018-11-19 08:47:40,1,112.814,112.814,112.814,112.814
2018-11-19 08:47:45,5,112.811,112.811,112.806,112.806
2018-11-19 08:47:50,3,112.808,112.814,112.808,112.814
2018-11-19 08:47:55,1,112.816,112.816,112.816,112.816
2018-11-19 08:48:30,1,112.818,112.818,112.818,112.818
2018-11-19 08:48:55,1,112.816,112.816,112.816,112.816
2018-11-19 08:49:00,1,112.814,112.814,112.814,112.814
2018-11-19 08:49:10,2,112.812,112.812,112.809,112.809
2018-11-19 08:49:15,1,112.806,112.806,112.806,112.806
2018-11-19 08:49:35,1,112.804,112.804,112.804,112.804
2018-11-19 08:49:55,1,112.807,112.807,112.807,112.807
2018-11-19 08:50:00,2,112.804,112.804,112.802,112.802
2018-11-19 08:50:05,1,112.804,112.804,112.804,112.804
2018-11-19 08:50:15,1,112.802,112.802,112.802,112.802
2018-11-19 08:50:20,1,112.804,112.804,112.804,112.804
2018-11-19 08:50:30,2,112.807,112.810,112.807,112.810
2018-11-19 08:50:35,1,112.812,112.812,112.812,112.812
2018-11-19 08:50:45,1,112.815,112.815,112.815,112.815
2018-11-19 08:50:50,4,112.812,112.818,112.812,112.814
2018-11-19 08:51:00,1,112.818,112.818,112.818,112.818
2018-11-19 08:51:05,3,112.814,112.814,112.810,112.810
2018-11-19 08:51:10,3,112.812,112.812,112.808,112.808
2018-11-19 08:51:15,1,112.806,112.806,112.806,112.806
2018-11-19 08:51:30,1,112.803,112.803,112.803,112.803
2018-11-19 08:51:40,1,112.800,112.800,112.800,112.800
2018-11-19 08:51:45,4,112.803,112.805,112.800,112.800
2018-11-19 08:51:50,2,112.802,112.806,112.802,112.806
2018-11-19 08:51:55,4,112.808,112.808,112.805,112.805
2018-11-19 08:52:00,2,112.802,112.805,112.802,112.805
2018-11-19 08:52:10,4,112.808,112.808,112.806,112.806
2018-11-19 08:52:45,1,112.803,112.803,112.803,112.803
2018-11-19 08:52:55,3,112.800,112.800,112.798,112.800
2018-11-19 08:53:00,1,112.798,112.798,112.798,112.798
2018-11-19 08:53:20,3,112.796,112.796,112.793,112.796
2018-11-19 08:53:25,1,112.794,112.794,112.794,112.794
2018-11-19 08:53:55,3,112.796,112.798,112.796,112.796
2018-11-19 08:54:00,1,112.798,112.798,112.798,112.798
2018-11-19 08:54:10,3,112.800,112.805,112.800,112.805
2018-11-19 08:54:20,4,112.808,112.810,112.806,112.806
2018-11-19 08:55:05,3,112.808,112.812,112.808,112.812
2018-11-19 08:55:15,1,112.814,112.814,112.814,112.814
2018-11-19 08:55:20,4,112.812,112.812,112.808,112.810
2018-11-19 08:55:25,1,112.812,112.812,112.812,112.812
2018-11-19 08:55:35,3,112.810,112.810,112.806,112.806
2018-11-19 08:55:40,2,112.808,112.810,112.808,112.810
2018-11-19 08:55:45,4,112.812,112.820,112.812,112.820
2018-11-19 08:55:50,1,112.818,112.818,112.818,112.818
2018-11-19 08:55:55,2,112.815,112.815,112.812,112.812
2018-11-19 08:56:05,3,112.810,112.810,112.806,112.806
2018-11-19 08:56:10,4,112.803,112.803,112.800,112.800
2018-11-19 08:56:15,3,112.803,112.806,112.803,112.803
2018-11-19 08:56:20,1,112.805,112.805,112.805,112.805
2018-11-19 08:56:25,3,112.808,112.810,112.808,112.808
2018-11-19 08:56:30,2,112.810,112.810,112.808,112.808
2018-11-19 08:56:40,1,112.810,112.810,112.810,112.810
2018-11-19 08:56:45,3,112.808,112.808,112.803,112.803
2018-11-19 08:56:50,1,112.806,112.806,112.806,112.806
2018-11-19 08:56:55,1,112.808,112.808,112.808,112.808
2018-11-19 08:57:00,1,112.805,112.805,112.805,112.805
2018-11-19 08:57:15,2,112.803,112.803,112.800,112.800
2018-11-19 08:57:20,2,112.802,112.806,112.802,112.806
2018-11-19 08:57:35,2,112.808,112.808,112.806,112.806
2018-11-19 08:57:40,2,112.808,112.808,112.806,112.806
2018-11-19 08:58:00,2,112.808,112.808,112.806,112.806
2018-11-19 08:58:10,1,112.802,112.802,112.802,112.802
2018-11-19 08:58:20,1,112.806,112.806,112.806,112.806
2018-11-19 08:58:35,1,112.803,112.803,112.803,112.803
2018-11-19 08:59:05,3,112.806,112.806,112.802,112.805
2018-11-19 08:59:25,1,112.808,112.808,112.808,112.808
2018-11-19 08:59:35,1,112.806,112.806,112.806,112.806
2018-11-19 08:59:40,3,112.808,112.812,112.808,112.812
2018-11-19 08:59:45,2,112.810,112.812,112.810,112.812
2018-11-19 08:59:50,1,112.814,112.814,112.814,112.814
2018-11-19 08:59:55,3,112.817,112.820,112.817,112.817
2018-11-19 09:00:00,5,112.814,112.820,112.812,112.820
2018-11-19 09:00:05,4,112.822,112.824,112.822,112.824
2018-11-19 09:00:10,3,112.827,112.830,112.827,112.827
2018-11-19 09:00:50,1,112.825,112.825,112.825,112.825
2018-11-19 09:00:55,2,112.822,112.822,112.820,112.820
2018-11-19 09:01:05,2,112.822,112.825,112.822,112.825
2018-11-19 09:01:20,1,112.823,112.823,112.823,112.823
2018-11-19 09:01:30,1,112.825,112.825,112.825,112.825
2018-11-19 09:01:40,1,112.823,112.823,112.823,112.823
2018-11-19 09:01:45,2,112.820,112.824,112.820,112.824
